,try_n,vulnerability_id,fix_commit_mean_sim,not_fix_commit_mean_sim,num_fix_commit,type
134,1,CVE-2020-7019,0.967254649733342,0.43676109669661767,3,spacy
135,1,CVE-2020-7019,1.0000000000000002,0.4259198138446738,3,fasttext
136,1,CVE-2013-4152,0.6530571183192294,0.48719913996515374,1,spacy
137,1,CVE-2013-4152,0.6214915216799353,0.4487822446947338,1,fasttext
138,1,CVE-2013-6429,1.0,0.6089821976538141,2,spacy
139,1,CVE-2013-6429,0.9644289621924632,0.5504034429342106,2,fasttext
140,1,CVE-2013-7315,1.0,0.5744374919826922,1,spacy
141,1,CVE-2013-7315,1.0,0.5051000828814185,1,fasttext
142,1,CVE-2014-0054,1.0,0.5970787133347175,2,spacy
143,1,CVE-2014-0054,1.0,0.5219974019853421,2,fasttext
144,1,CVE-2014-1904,0.9426882980512273,0.48291954092907996,2,spacy
145,1,CVE-2014-1904,0.9414774913090437,0.45705914751237814,2,fasttext
146,1,CVE-2014-3578,0.35718759140092954,0.3157707706082965,2,spacy
147,1,CVE-2014-3578,0.3571876529751805,0.26826462756382846,2,fasttext
148,1,CVE-2014-3625,0.9449012244327291,0.6528317319768292,3,spacy
149,1,CVE-2014-3625,0.9433105973052801,0.6287132048562933,3,fasttext
150,1,CVE-2015-0201,0.8591152904857832,0.31716805578576024,2,spacy
151,1,CVE-2015-0201,0.8591152868546214,0.2675103584765896,2,fasttext
152,1,CVE-2015-3192,1.0,0.16740177288447816,1,spacy
153,1,CVE-2015-3192,1.0,0.2385218708983116,1,fasttext
154,1,CVE-2016-5007,1.0,0.5074824684670024,1,spacy
155,1,CVE-2016-5007,1.0,0.4697756602673753,1,fasttext
156,1,CVE-2016-9878,0.9299344755016589,0.4515919256849826,3,spacy
157,1,CVE-2016-9878,0.9299344611416939,0.4450674819575865,3,fasttext
158,1,CVE-2018-11039,1.0,0.4746038355810267,2,spacy
159,1,CVE-2018-11039,1.0,0.5237064219999386,2,fasttext
160,1,CVE-2018-11040,0.9060303278205395,0.4331842784713033,2,spacy
161,1,CVE-2018-11040,0.9060303170829859,0.4427405467486138,2,fasttext
162,1,CVE-2018-1257,1.0,0.23829522867167793,2,spacy
163,1,CVE-2018-1257,1.0,0.3082396085676768,2,fasttext
164,1,CVE-2018-1270,0.31790809147068194,0.24892915872859867,3,spacy
165,1,CVE-2018-1270,0.5039844290196637,0.2933608457621263,3,fasttext
166,1,CVE-2018-1271,0.897809887706478,0.4480640582074017,7,spacy
167,1,CVE-2018-1271,0.8978098795908399,0.4561688677560978,7,fasttext
168,1,CVE-2018-1272,1.0,0.464308930894205,2,spacy
169,1,CVE-2018-1272,1.0,0.43600692977284455,2,fasttext
170,1,CVE-2018-1275,0.2284186601723809,0.22132725992101215,2,spacy
171,1,CVE-2018-1275,0.43890792632798104,0.336053328583976,2,fasttext
172,1,CVE-2018-15756,1.0,0.3785796633966525,3,spacy
173,1,CVE-2018-15756,1.0,0.3832634710115855,3,fasttext
174,1,CVE-2020-5397,1.0,0.24924580618292444,1,spacy
175,1,CVE-2020-5397,1.0,0.2726742157491221,1,fasttext
176,1,CVE-2020-5398,1.0,0.4296385337804957,1,spacy
177,1,CVE-2020-5398,1.0,0.412043193807832,1,fasttext
178,1,CVE-2018-10237,1.0,0.2837526196713628,1,spacy
179,1,CVE-2018-10237,1.0,0.25357439471006715,1,fasttext
180,1,CVE-2016-2402,1.0,0.31495121996902925,3,spacy
181,1,CVE-2016-2402,1.0,0.2992096459048686,3,fasttext
