,vulnerability_id,commit_id,spacy_similarity,rank
82,CVE-2020-7238,ac76a24ff6d3cd0f59a2833c2f83eb82184ecaeb,1.0,1
83,CVE-2017-18349,f5903fa56497c00ed0703ac875b511f9bd5f1d8e,0.5739981218912298,315
84,CVE-2017-12610,0b4daa4bf48517b4b3e9cda11692e80ade620b04,0.941809293590001,6
85,CVE-2017-12610,47c2753496875db2849065ad91ee03c7c842c8e9,0.941809293590001,6
86,CVE-2017-12610,9f3468645b968761ca9141d18337cb6adadbae97,0.941809293590001,6
87,CVE-2018-17196,59a0cbb98cef10ddf62d294670aa2e4eb9f8cf8c,1.0,2
88,CVE-2019-12399,5d2a6dc531150423a40f77783a4a09e1b0f90178,1.0,46
89,CVE-2019-12399,921937ba3b897b9a16b806bab2111362064ff83c,1.0,46
90,CVE-2019-12399,b85707c0fdb4c11448cdb5a1938e0488ddc91102,1.0,46
91,CVE-2019-12399,e20bc24909c22875d17c4a90d1d0c9c6608001b6,1.0,46
92,CVE-2018-17297,8d7d0b7fb5ea4f7447b40131bffc1ec506a6528e,1.0,4
93,CVE-2018-17297,9f8a801c7b98b75ee681c0988e1a58bcfdc21756,0.6144063224373701,597
94,CVE-2018-17297,fed1a1f747a9308e2f65f8dbbff05ce62478ecc0,1.0,3
95,CVE-2020-13921,fb7912c6bdda06a233f4b3e18e71a87d3e4a8951,1.0,2
96,CVE-2020-9483,4ce2e9e87398efcee4b646af1143f4dc2ae10dc7,0.7788075535369501,30
97,CVE-2020-1960,48ca13793825a8095578ddc5724da4178cd18c5c,0.9905182304271724,3
98,CVE-2020-1960,5e0b7970a9aea74aba4ebffaa75c37e960799b93,1.0,1
99,CVE-2020-1960,804ae70024bf8be7c0c7093d02addb080c318662,0.9905182304271724,3
100,CVE-2020-1960,a61b5d2b362d11e7b9deeb2334d275325574bd7b,1.0,1
101,CVE-2020-1960,0e8e8062bcc159e9ed2a0d4a0a61db4efcb01f2f,1.0,1
102,CVE-2020-1960,12787eceb49c566b28aa876fc2892d21a0ec3d79,1.0,1
103,CVE-2020-1960,4f06bb75cd726096af43587ca4fb182b2e4bae2e,0.9905182304271724,2
104,CVE-2020-1960,58b58f4b16a2e25c95b465377d43a51ad8ef3f6a,0.9905182304271724,3
105,CVE-2020-1960,b8647b1ca019003ae939b7494bba4e54de167b6f,1.0,1
106,CVE-2020-1960,d2a051267ffbeef5c1fd981860fb7032d9ac8a60,0.9905182304271724,2
107,CVE-2020-1960,f9b4e0dea71abbcd6463c757577c70c45b3e6bbf,1.0,1
108,CVE-2019-17572,f8f6fbe4aa7f5dee937e688322628c366b12a552,0.6703592354969418,216
109,CVE-2020-12480,681d8ee3f785a6105b0595d8f10a8ee5718e6d7b,0.9600292676452558,14
110,CVE-2017-7669,bbe3b0857d383c5e4dc4a7ade90a88a3e24338b2,0.9650059184089016,12
111,CVE-2017-7669,0319e74c2512d47d47ab9df834f5b6455be7d968,0.9650059184089016,2
112,CVE-2018-11768,96cedb87b94c07c11152580bf36978186d622b50,0.5222602488651841,835
113,CVE-2018-8009,6d7d192e4799b51931e55217e02baec14d49607b,1.0,6
114,CVE-2018-8009,cedc28d4ab2a27ba47e15ab2711218d96ec88d23,1.0,7
115,CVE-2018-8009,745f203e577bacb35b042206db94615141fa5e6f,1.0,7
116,CVE-2018-8009,e3236a9680709de7a95ffbc11b20e1bdc95a8605,1.0,6
117,CVE-2018-8009,11a425d11a329010d0ff8255ecbcd1eb51b642e3,1.0,4
118,CVE-2018-8009,fc4c20fc3469674cb584a4fb98bac7e3c2277c96,1.0,7
119,CVE-2018-8009,12258c7cff8d32710fbd8b9088a930e3ce27432e,1.0,7
