,cve,project_name,project_url,commit_sha,similarity,match
79,CVE-2016-4970,netty,https://github.com/netty/netty,524156f164a910b8b0978d27a2c700a19cd8048,1.0,True
80,CVE-2016-4970,netty,https://github.com/netty/netty,9e2c400f89c5badc39919f811179d3d42ac5257c,1.0,True
81,CVE-2019-16869,netty,https://github.com/netty/netty,017a9658c97ff1a1355c31a6a1f8bd1ea6f21c8,1.0,True
82,CVE-2019-16869,netty,https://github.com/netty/netty,39cafcb05c99f2aa9fce7e6597664c9ed6a63a9,0.7741402758943969,True
83,CVE-2019-20445,netty,https://github.com/netty/netty,ac76a24ff6d3cd0f59a2833c2f83eb82184ecaeb,0.8513577291338804,True
84,CVE-2019-9512,netty,https://github.com/netty/netty,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.26059517140184374,True
85,CVE-2019-9514,netty,https://github.com/netty/netty,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.5455615683044235,True
86,CVE-2019-9515,netty,https://github.com/netty/netty,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.5692396751792048,True
87,CVE-2019-9518,netty,https://github.com/netty/netty,7003dbdc0801fd65b75700acb2cf77044075ff8c,0.6830173836033442,True
88,CVE-2020-11612,netty,https://github.com/netty/netty,fa7e69bf30aea2ed11fb93806771a5688b8378f0,0.7211912212033835,True
89,CVE-2020-7238,netty,https://github.com/netty/netty,ac76a24ff6d3cd0f59a2833c2f83eb82184ecaeb,1.0,True
90,CVE-2017-18349,fastjson,https://github.com/alibaba/fastjson,f5903fa56497c00ed0703ac875b511f9bd5f1d8e,0.5739981218912298,True
91,CVE-2017-12610,kafka,https://github.com/apache/kafka,0b4daa4bf48517b4b3e9cda11692e80ade620b0,0.9712419889526724,True
92,CVE-2017-12610,kafka,https://github.com/apache/kafka,47c2753496875db2849065ad91ee03c7c842c8e,0.9712419889526724,True
93,CVE-2017-12610,kafka,https://github.com/apache/kafka,9f3468645b968761ca9141d18337cb6adadbae9,0.9712419889526724,True
94,CVE-2018-17196,kafka,https://github.com/apache/kafka,59a0cbb98cef10ddf62d294670aa2e4eb9f8cf8c,1.0,True
95,CVE-2019-12399,kafka,https://github.com/apache/kafka,5d2a6dc531150423a40f77783a4a09e1b0f9017,1.0,True
96,CVE-2019-12399,kafka,https://github.com/apache/kafka,921937ba3b897b9a16b806bab2111362064ff83,1.0,True
97,CVE-2019-12399,kafka,https://github.com/apache/kafka,b85707c0fdb4c11448cdb5a1938e0488ddc9110,1.0,True
98,CVE-2019-12399,kafka,https://github.com/apache/kafka,e20bc24909c22875d17c4a90d1d0c9c6608001b,1.0,True
99,CVE-2018-17297,hutool,https://github.com/looly/hutool,8d7d0b7fb5ea4f7447b40131bffc1ec506a6528e,1.0,True
100,CVE-2018-17297,hutool,https://github.com/looly/hutool,9f8a801c7b98b75ee681c0988e1a58bcfdc21756,0.8245983760540794,True
101,CVE-2018-17297,hutool,https://github.com/looly/hutool,fed1a1f747a9308e2f65f8dbbff05ce62478ecc0,1.0,True
102,CVE-2020-13921,skywalking,https://github.com/apache/skywalking,fb7912c6bdda06a233f4b3e18e71a87d3e4a8951,1.0,True
103,CVE-2020-9483,skywalking,https://github.com/apache/skywalking,4ce2e9e87398efcee4b646af1143f4dc2ae10dc7,0.7788075535369501,True
104,CVE-2020-1960,flink,https://github.com/apache/flink,48ca13793825a8095578ddc5724da4178cd18c5,0.9905182304271724,True
105,CVE-2020-1960,flink,https://github.com/apache/flink,5e0b7970a9aea74aba4ebffaa75c37e960799b9,0.9999999999999999,True
106,CVE-2020-1960,flink,https://github.com/apache/flink,804ae70024bf8be7c0c7093d02addb080c31866,0.9905182304271724,True
107,CVE-2020-1960,flink,https://github.com/apache/flink,a61b5d2b362d11e7b9deeb2334d275325574bd7,0.9999999999999999,True
108,CVE-2020-1960,flink,https://github.com/apache/flink,0e8e8062bcc159e9ed2a0d4a0a61db4efcb01f2,0.9999999999999999,True
109,CVE-2020-1960,flink,https://github.com/apache/flink,12787eceb49c566b28aa876fc2892d21a0ec3d7,0.9999999999999999,True
110,CVE-2020-1960,flink,https://github.com/apache/flink,4f06bb75cd726096af43587ca4fb182b2e4bae2,0.9905182304271724,True
